ID,Kitchen Name,Item Name,Description,Category,Price,Low Price,High Price,Use Dual Pricing,Prices (JSON),Is Active
772,"Brunch Bar","Blueberry Blender","with banana, oats, pumpkin seeds, chia seeds","Smoothie Bowls","80000","","",FALSE,"",TRUE
773,"Brunch Bar","Chocolate-Orange Sunrise","Fresh orange, chocolate chips, dark cacao, banana, honey","Smoothie Bowls","80000","","",FALSE,"",TRUE
774,"Brunch Bar","Nuts, Seeds and Dried Fruits","Macadamia, Cashews, Hazelnuts, dried mango, pineapple, coconut, banana... variable combinations.","Smoothie Bowls","85000","","",FALSE,"",TRUE
775,"Brunch Bar","Apple, Nutella","with banana, oats & chia seeds","Smoothie Bowls","75000","","",FALSE,"",TRUE
776,"Brunch Bar","Cacao Banana","with peanuts, pumpkin seeds, oats & chia seeds","Smoothie Bowls","75000","","",FALSE,"",TRUE
777,"Brunch Bar","Vanilla Coconut","With banana, oats or granola, choc chip, coconut flakes","Smoothie Bowls","75000","","",FALSE,"",TRUE
778,"Brunch Bar","Avocado","with banana, honey, oats, chia seeds","Smoothie Bowls","75000","","",FALSE,"",TRUE
781,"Brunch Bar","Special Smoothie Bowl of the Day","Ask for details","Smoothie Bowls","77000","","",FALSE,"",TRUE
771,"Brunch Bar","Mango, Pineapple, Passionfruit Paradise","with banana, honey, oats","Smoothie Bowls","80000","","",FALSE,"",TRUE
784,"Brunch Bar","Your choice","Mango / Passionfruit / Pineapple / Orange / Watermelon / Avocado / Strawberry / Kiwi / Apple / Raisins / Nuts / Granola / Oats / Muesli / Yogurt / Kefir","Fruit Bowls","0","","",FALSE,"",TRUE
785,"Brunch Bar","Yogurt Bowl","Homemade No added sugar or flavouring","Yogurt / Kefir","30000","","",FALSE,"",TRUE
786,"Brunch Bar","Chopped fresh fruit add-on","+ Chopped fresh fruit (x1)","Yogurt / Kefir","20000","","",FALSE,"",TRUE
787,"Brunch Bar","Granola / Muesli add-on","+ Granola / Muesli","Yogurt / Kefir","10000","","",FALSE,"",TRUE
788,"Brunch Bar","Kefir bowl","Homemade No added sugar or flavouring","Yogurt / Kefir","35000","","",FALSE,"",TRUE
789,"Brunch Bar","Big English Breakfast","Bacon, egg, sausage, Heinz beans, fried-onions, tomato, brown toast","Bacon & Eggs","98000","","",FALSE,"",TRUE
790,"Brunch Bar","Breakfast Banger Bacon Burger","'Banger' sausage-meat burger, with layers of bacon, egg, cheese, onions, in a burger bap","Bacon & Eggs","90000","","",FALSE,"",TRUE
791,"Brunch Bar","Breakfast Ham Bacon Burger","Sliced smoked ham with layers of ham, bacon, egg, cheese, onions, in a burger bap","Bacon & Eggs","80000","","",FALSE,"",TRUE
792,"Brunch Bar","Muffin Ham Bacon Brunch","Slice of ham, bacon, fried egg, lettuce and tomato, mayo garlic sauce in an English muffin","Bacon & Eggs","80000","","",FALSE,"",TRUE
793,"Brunch Bar","Egg Benedict Royal","Poached egg on a smoked salmon slice on an English muffin, fresh Hollandaise sauce, & Parmesan on top + Extra egg - 9,000","Bacon & Eggs","110000","","",FALSE,"",TRUE
794,"Brunch Bar","Egg Benedict","Poached egg on a ham slice on an English muffin, fresh Hollandaise sauce, & Parmesan on top + Extra egg - 9,000","Bacon & Eggs","75000","","",FALSE,"",TRUE
795,"Brunch Bar","Egg Bene... ""Dong Vui""","Poached egg on a slice of ham, bacon, on an English muffin fresh mustard sauce, & Parmesan on top + 1 Extra egg + 9,000","Bacon & Eggs","80000","","",FALSE,"",TRUE
796,"Brunch Bar","Egg Florentine","Poached egg on a bed of spinach, on an English muffin fresh hollandaise sauce, & Parmesan on top + 1 Extra egg + 9,000","Bacon & Eggs","75000","","",FALSE,"",TRUE
797,"Brunch Bar","Big 3-Egg Omelette","3 Eggs, Sweet Peppers, Tomato, Onion, Garlic add Ham & Cheddar + 35,000 add Bacon & Brie + 45,000 add Chopped Sausage +15,000","Bacon & Eggs","55000","","",FALSE,"",TRUE
798,"Brunch Bar","Fluffy 2-Egg Omelette","2 Foamed Eggs, Sweet Peppers, Tomato, Onion, Garlic add Ham & Cheddar + 30,000 add Bacon & Brie + 40,000 add Chopped Sausage +12,000","Bacon & Eggs","45000","","",FALSE,"",TRUE
799,"Brunch Bar","Poached Egg on Avocado toast","Poached egg on chopped avocado on buttered toast, with parmesan Choose:- English muffin or brown toast or gluten free + Extra egg, 9,000","Bacon & Eggs","50000","","",FALSE,"",TRUE
800,"Brunch Bar","Egg Mayo Sandwich","2 chopped eggs with mayo between 2 slices of toasted home-made brown bread (or request baguette) Add chopped bacon in the egg mix +5,000","Bacon & Eggs","49000","","",FALSE,"",TRUE
801,"Brunch Bar","Club Sandwich","Cheddar cheese & cooked ham Dijon mustard, mayonnaise, with fresh salad between 3 lightly toasted slices of homemade brown bread.","Bacon & Eggs","85000","","",FALSE,"",TRUE
802,"Brunch Bar","""BLT"" - Bacon Lettuce Tomato sandwich","Chopped bacon with lettuce, tomato & mayonnaise between slices of toasted brown bread. (or request baguette)","Bacon & Eggs","60000","","",FALSE,"",TRUE
803,"Brunch Bar","Toasted Bacon Sandwich","Chopped bacon, 2 slices of buttered toasted brown bread (or request baguette) With Heinz tomato ketchup / mayo","Bacon & Eggs","52000","","",FALSE,"",TRUE
